study,study_id,cohort,group,measure,units,n,timepoint,timepoint_mean,timepoint_median,timepoint_range,timepoint_iqr,timepoint_sd,n_timepoints,inj_mean,inj_sd,inj_med,inj_iqr,inj_range,noninj_mean,noninj_sd,noninj_med,noninj_iqr,noninj_range,lsi_mean,lsi_sd,lsi_med,lsi_iqr,lsi_range,notes
Arhos 2020a,#3251,Arhos 2020a,Non-Contact,quad mvic 90,lsi,50,1,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.2,12.8,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Non-Contact,quad mvic 90,lsi,50,2,24,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.2,15,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Non-Contact,single hop,lsi,50,1,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,8.7,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Non-Contact,single hop,lsi,50,2,24,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,6.9,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Non-Contact,triple crossover hop,lsi,50,1,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.8,7.3,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Non-Contact,triple crossover hop,lsi,50,2,24,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.3,7,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Non-Contact,triple hop,lsi,50,1,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1,6.7,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Non-Contact,triple hop,lsi,50,2,24,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.5,6.1,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Non-Contact,6m timed hop,lsi,65,1,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.1,6,NA,NA,NA,NA
Arhos 2020a,#3251,Arhos 2020a,Non-Contact,6m timed hop,lsi,50,2,24,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7,6.2,NA,NA,NA,NA
