study,group,name,graft,n,age_mean,age_sd,female,bmi_mean,bmi_sd,tegner,age_other,bmi_note,group_indep,group_indep_notes,timepoint_combo,combination_notes
Arhos 2020a,1,Non-Contact,Mixed,50,20.6,7.2,28,26.4,3.5,NA,NA,NA,1,NA,1,NA
Arhos 2020a,2,Contact,Mixed,29,22.1,8.3,11,25.4,2.9,NA,NA,NA,1,NA,1,NA
Barnett 2020,1,Male,Bridge Enhanced ACL Repair (BEAR),28,22,6,0,26.1,4.5,NA,NA,NA,1,NA,1,NA
Barnett 2020,2,Female,Bridge Enhanced ACL Repair (BEAR),37,17.4,3.1,37,23.6,2.8,NA,NA,NA,1,NA,1,NA
Bodkin 2020,1,Month 5-6,not stated,122,23.1,10.7,61,NA,NA,8.4,NA,NA,0,Group 5 (repeated measure) is subgroup of other groups,0,NA
Bodkin 2020,2,Month 6-7,not stated,102,23.2,10,50,NA,NA,8.37,NA,NA,0,Group 5 (repeated measure) is subgroup of other groups,0,NA
Bodkin 2020,3,Month 7-8,not stated,43,22.9,8.9,20,NA,NA,7.4,NA,NA,0,Group 5 (repeated measure) is subgroup of other groups,0,NA
Bodkin 2020,4,Month 8-9,not stated,26,23.9,9.3,13,NA,NA,7.58,NA,NA,0,Group 5 (repeated measure) is subgroup of other groups,0,NA
Bodkin 2020,5,Repeat measure group,not stated,40,20.4,7.1,20,NA,NA,NA,NA,NA,0,Group 5 (repeated measure) is subgroup of other groups,0,NA
Boo 2020,1,Non-dominant leg injuries,mixed,131,26.9,NA,18,24.9,NA,2.81,NA,NA,1,NA,1,NA
Boo 2020,2,Dominant leg injuries,mixed,141,25.6,NA,30,24.2,NA,2.91,NA,NA,1,NA,1,NA
Bookbinder 2020,1,ACLR,Mixed,27,19.7,2.18,20,NA,NA,NA,NA,NA,1,NA,0,NA
Bookbinder 2020,2,Healthy Control,NA,25,19.52,1.64,16,NA,NA,NA,NA,NA,1,NA,0,NA
Carolan 2020,1,Primary ACLR,Mixed,298,24.16,4.6,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Cristiani 2020,1,BPTB Standard,BPTB,40,29.3,6.4,15,NA,NA,NA,NA,NA,1,NA,1,NA
Cristiani 2020,2,BPTB Accelerated,BPTB,40,28.5,5.5,6,NA,NA,NA,NA,NA,1,NA,1,NA
Cristiani 2020,3,HT Standard,HS,40,28,6.3,11,NA,NA,NA,NA,NA,1,NA,1,NA
Cristiani 2020,4,HT Accelerated,HS,40,28.8,6.3,13,NA,NA,NA,NA,NA,1,NA,1,NA
Curran 2020,1,9 Month,Mixed,19,19.5,5.7,11,NA,NA,NA,NA,NA,1,NA,2,NA
Curran 2020,2,12 months,Mixed,22,20.2,7.8,13,NA,NA,NA,NA,NA,1,NA,2,NA
Curran 2020,3,18 months,Mixed,20,20.5,6.6,8,NA,NA,NA,NA,NA,1,NA,2,NA
Curran 2020,4,24 months,Mixed,21,20.5,6.4,13,NA,NA,NA,NA,NA,1,NA,2,NA
Everhart 2020a,1,Grade 0-1 cartilage damage,Mixed,114,20.5,5.9,50,26.5,5.8,NA,NA,NA,1,NA,1,NA
Everhart 2020a,2,Grade 2-4 cartilage damage,Mixed,394,25,8.5,239,27.3,5.5,NA,NA,NA,1,NA,1,NA
Getgood 2020,1,ACLR Alone,HS,180,18.7,3.2,101,22.9,5.7,NA,NA,NA,1,NA,1,NA
Getgood 2020,2,ACLR. + Lateral extra-articular tenodesis,HS + LET,176,19,3.1,101,23.8,4.7,NA,NA,NA,1,NA,1,NA
Guney-Deniz 2020,1,Hamstring Tendon,HS,24,26.7,4.6,4,24.2,1.2,NA,NA,NA,1,NA,1,NA
Guney-Deniz 2020,2,Tibialis Anterior,TA,21,26.4,5.5,4,24.1,1.5,NA,NA,NA,1,NA,1,NA
Guney-Deniz 2020,3,Quads Tendon,QT,22,27.8,2.8,5,24.4,1.3,NA,NA,NA,1,NA,1,NA
Guney-Deniz 2020,4,Healthy Control,"NA",20,28.7,3.1,"NA",22.9,2.1,NA,NA,NA,1,NA,1,NA
Harput 2020a,1,BMI <25,HS,50,27.2,6.7,0,22.3,1.6,4.9,NA,NA,1,NA,1,NA
Harput 2020a,2,BMI >25,HS,41,30.2,6.9,0,28,2.4,4.9,NA,NA,1,NA,1,NA
Hart 2020,1,ACLR,HS,118,31,9,42,26,4,NA,NA,NA,NA,NA,0,NA
Hu 2020,1,ST/G,HS - ST/G,34,33.8,5.3,21,26.4,5.3,NA,NA,NA,1,NA,0,NA
Hu 2020,2,ST,HS - ST,50,32.7,5.1,20,27.6,4.8,NA,NA,NA,1,NA,0,NA
Hunnicutt 2020a,1,All,QT,320,18.1,3.1,164,23.8,3.7,NA,NA,NA,NA,NA,1,NA
Iwame 2020,1,Group 1,HS - ST/G or ST,101,25.1,11.1,47,23.3,3.4,NA,NA,NA,NA,NA,0,NA
Joseph 2020,1,Lemaire Group,HT + LET,35,23,6.3,7,23.5,2.5,7.5,NA,NA,1,NA,0,NA
Joseph 2020,2,Reference,HT,52,34.2,10.5,23,23.9,2.7,6.5,NA,NA,1,NA,0,NA
Kew 2020,1,Femoral nerve block (Femoral + Fem&Sciatic),mixed,83,22.59,9.37,43,NA,NA,8.59,NA,NA,1,NA,0,NA
Kew 2020,2,No femoral block (Sciatic+saphenous & saphenous),mixed,86,22.5,10.5,46,NA,NA,8.21,NA,NA,1,NA,0,NA
Kim 2020,1,ACLR,mixed,20,23.2,1.1,4,24.1,0.8,NA,NA,NA,1,NA,0,NA
Kim 2020,2,Healthy Control,"NA",30,22.7,0.8,8,23.8,0.9,NA,NA,NA,1,NA,0,NA
Krishna 2020,1,5 Strand Graft,HS,28,26.3,7.3,5,24.4,3.7,NA,NA,NA,1,NA,0,NA
Krishna 2020,2,4 Strand Graft,HS,28,27.6,7.3,8,25,3.9,NA,NA,NA,1,NA,0,NA
Lee 2020,1,Group 1,HS - Single bundle,54,25.9,9.4,11,23.6,3.7,7.8,NA,NA,NA,NA,0,NA
Nakanishi 2020,1,20-25 years old,HS - Double bundle,56,23,1.9,29,NA,NA,NA,NA,NA,NA,NA,0,NA
Norte 2020,1,ACLR,mixed,80,21.7,7.8,38,NA,NA,NA,NA,NA,1,NA,0,NA
Norte 2020,2,Healthy Control,"NA",80,22.1,4.1,43,NA,NA,NA,NA,NA,1,NA,0,NA
O'Connor 2020,1,Group 1,mixed,452,25.5,6.1,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Patterson 2020a,1,ACLR,HS,59,33,16,22,25.6,3.6,NA,NA,NA,1,NA,0,NA
Patterson 2020a,2,Healthy Control,"NA",41,NA,NA,14,24.6,3.1,NA,24 Median,NA,1,NA,0,NA
Pei-An 2020,1,Acute,ACLD,28,33,13,7,26,5,NA,NA,NA,1,NA,2,NA
Pei-An 2020,2,Chronic,ACLD,30,32,12,10,26,4,NA,NA,NA,1,NA,2,NA
Piussi 2020,1,Male,Mixed,120,28.7,9.6,0,24.4,2.5,8,NA,NA,1,NA,0,NA
Piussi 2020,2,Female,mixed,208,24.5,9.7,208,22.7,2.8,8,NA,NA,1,NA,0,NA
Rhim 2020,1,ACLR,HS,32,30,7,20,22,2,NA,NA,NA,1,NA,0,NA
Rhim 2020,2,Healthy Control,"NA",32,29,8,17,23,1,NA,NA,NA,1,NA,0,NA
Riesterer 2020,1,Group 1,HS - ST ,80,29,9,26,NA,NA,NA,NA,NA,NA,NA,0,NA
Roger 2020,1,4ST,HS - ST,33,30.52,8.9,7,24.3,3.3,NA,NA,NA,1,NA,1,NA
Roger 2020,2,ST/G,HS - ST/G,27,30.3,8.5,4,24.2,2.4,NA,NA,NA,1,NA,1,NA
Sherman 2020,1,IKDC Not Met,mixed,111,18,5,51,NA,NA,NA,NA,NA,NA,NA,0,NA
Stropnik 2020,1,Normal IKDC,HS,21,28.3,11.5,7,24.3,2.9,7.2,NA,NA,1,NA,1,NA
Stropnik 2020,2,Sub-normal IKDC,HS,39,33.7,11.4,12,26.5,4,6.4,NA,NA,1,NA,1,NA
Welling 2020,1,RTS,mixed,46,25.5,5.8,13,NA,NA,NA,NA,NA,1,NA,1,NA
Welling 2020,2,No RTS,mixed,18,33.6,12.2,7,NA,NA,NA,NA,NA,1,NA,1,NA
Yuya 2020,1,Excellent pre QSI,HS,122,22.9,8.5,38,22.4,3,7.1,NA,NA,1,NA,1,NA
Yuya 2020,2,Good pre QSI,HS,166,23.6,9.2,86,22.3,3,7.3,NA,NA,1,NA,1,NA
Yuya 2020,3,Moderate pre QSI,HS,90,21.9,7.9,48,22.5,2.8,7,NA,NA,1,NA,1,NA
Yuya 2020,4,Poor pre QSI,HS,42,24,10.3,26,22.1,3.3,7.1,NA,NA,1,NA,1,NA
Sipka 2019,1,Group 1,Not stated,65,28.5,8.1,21,NA,NA,NA,NA,NA,NA,NA,0,NA
Akoto 2019,1,QT,QT,41,29,10,9,NA,NA,NA,NA,NA,1,NA,1,NA
Akoto 2019,2,HT,HS - ST,41,28,10,9,NA,NA,NA,NA,NA,1,NA,1,NA
Almeida 2019,1,Group 1,mixed,70,27,6.3,6,27.6,4,NA,NA,NA,NA,NA,0,NA
Bailey 2019,1,Femoral nerve block,BPTB,38,24.4,8.8,20,24.5,4.2,NA,NA,NA,1,NA,1,NA
Bailey 2019,2,Adductor canal block,BPTB,40,21,7.3,23,24.9,4.7,NA,NA,NA,1,NA,1,NA
Batty 2019,1,100,HS,100,26.6,8,46,NA,NA,NA,NA,NA,NA,NA,0,NA
Beischer 2019,1,Male,mixed,98,NA,NA,0,NA,NA,NA,NA,NA,1,NA,0,NA
Beischer 2019,2,Female,mixed,139,NA,NA,139,NA,NA,NA,NA,NA,1,NA,0,NA
Cristiani 2019,1,Male,mixed,2223,NA,NA,0,NA,NA,7,28.3 (10.7) whole cohort M+F,NA,1,NA,0,NA
Cristiani 2019,2,Female,mixed,1870,NA,NA,1870,NA,NA,7,28.3 (10.7) whole cohort M+F,NA,1,NA,0,NA
Dempsey 2019,1,All included,mixed,60,22.4,9.2,31,NA,NA,NA,NA,NA,0,Group 1 is whole cohort of 2 and 3 (HS/BPTB),0,NA
Dempsey 2019,2,Hamstring Graft,HS,28,NA,NA,NA,NA,NA,NA,NA,NA,0,Group 1 is whole cohort of 2 and 3 (HS/BPTB),0,NA
Dempsey 2019,3,Patellar graft,BPTB,32,NA,NA,NA,NA,NA,NA,NA,NA,0,Group 1 is whole cohort of 2 and 3 (HS/BPTB),0,NA
Dobija 2019,1,ACLD,ACLD,33,36.8,10.4,13,24.5,3.7,NA,NA,NA,1,NA,0,NA
Dobija 2019,2,Healthy Control,"NA",33,36.8,11,16,23.8,3.3,NA,NA,NA,1,NA,0,NA
Ebert 2019,1,Group 1,LARS + HS,50,26.3,9.6,18,24.8,4,NA,NA,NA,NA,NA,0,NA
Huber 2019,1,PTG,BPTB,226,30,11,99,NA,NA,NA,NA,NA,1,NA,1,NA
Huber 2019,2,HTG,HS,238,30,11,88,NA,NA,NA,NA,NA,1,NA,1,NA
Hughes 2019a,1,QT 5-8,QT,39,23,NA,14,NA,NA,NA,NA,NA,1,NA,1,NA
Hughes 2019a,2,BPTB 5-8,BPTB,15,24,NA,5,NA,NA,NA,NA,NA,1,NA,1,NA
Hughes 2019a,3,HS 5-8,HS,19,23,NA,13,NA,NA,NA,NA,NA,1,NA,1,NA
Hughes 2019a,4,QT 9-15,QT,29,23,NA,14,NA,NA,NA,NA,NA,1,NA,1,NA
