study,study_id,cohort,measure,units,timepoint,timepoint_median,timepoint_range,timepoint_iqr,timepoint_sd,n_timepoints,inj_med,inj_iqr,inj_range,noninj_med,noninj_iqr,noninj_range,lsi_med,lsi_iqr,lsi_range,notes,graft_group,es_id,timepoint_mean,acl_n,female,inj_mean,inj_sd,noninj_mean,noninj_sd,lsi_mean,lsi_sd,group,graft,group_indep,group_indep_notes,timepoint_combo,combination_notes,ri,yi,vi,sei,zi,pval,ci.lb,ci.ub
Arhos 2020a,#3251,Arhos 2020a,quad mvic 90,lsi,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,1,12,79,39,NA,NA,NA,NA,0.9860379746835443,0.12765060919014345,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.014060411243308051,2.1214432090924288e-4,0.014565174935758337,-0.9653444812934541,0.33437229928093476,-0.04260762954591989,0.014486807059303783
Arhos 2020a,#3251,Arhos 2020a,quad mvic 90,lsi,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,2,24,79,39,NA,NA,NA,NA,1.0099746835443038,0.14572752715727022,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,0.00992526474129667,2.6353307173458164e-4,0.016233701726180067,0.6113987375590504,0.5409356382153786,-0.021892205977781968,0.04174273546037531
Arhos 2020a,#3251,Arhos 2020a,single hop,lsi,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,3,12,79,39,NA,NA,NA,NA,0.9781645569620254,0.07952647202867005,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.02207736444884138,8.367052558120412e-5,0.009147159426904295,-2.413575998676247,0.015796833097749152,-0.04000546748641984,-0.004149261411262921
Arhos 2020a,#3251,Arhos 2020a,single hop,lsi,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,4,24,79,39,NA,NA,NA,NA,0.9975189873417721,0.07773547531235853,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.002484095470185623,7.687215984074373e-5,0.008767676992267891,-0.28332424567833836,0.7769282930397592,-0.019668426603111154,0.014700235662739909
Arhos 2020a,#3251,Arhos 2020a,triple crossover hop,lsi,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,5,12,79,39,NA,NA,NA,NA,0.9953417721518987,0.07652172241884928,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.00466911120269333,7.481659191022779e-5,0.008649658485178926,-0.5398029541505933,0.5893329295724083,-0.021622130312215306,0.012283907906828644
Arhos 2020a,#3251,Arhos 2020a,triple crossover hop,lsi,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,6,24,79,39,NA,NA,NA,NA,1.00226582278481,0.06711121822627232,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,0.0022632596793289747,5.675410914278898e-5,0.007533532315108829,0.30042476552332675,0.7638531754845657,-0.012502192334652981,0.01702871169331093
Arhos 2020a,#3251,Arhos 2020a,triple hop,lsi,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,7,12,79,39,NA,NA,NA,NA,0.9876075949367089,0.06373823023005473,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.012469831244298719,5.272347995800468e-5,0.007261093578656364,-1.7173489239903463,0.08591543795565947,-0.026701313146840246,0.0017616506582428058
Arhos 2020a,#3251,Arhos 2020a,triple hop,lsi,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,8,24,79,39,NA,NA,NA,NA,1.0061898734177215,0.058683544181278614,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,0.0061707948401012345,4.30571911037903e-5,0.006561797856059748,0.940412212546684,0.3470061602717212,-0.0066900926316080115,0.01903168231181048
Arhos 2020a,#3251,Arhos 2020a,6m timed hop,lsi,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,9,12,94,39,NA,NA,NA,NA,1.0217978723404255,0.06098978934236893,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,0.021563695646220692,3.790150234840426e-5,0.006156419604640692,3.502635790121589,4.6067890143738227e-4,0.009497334947408618,0.033630056345032765
Arhos 2020a,#3251,Arhos 2020a,6m timed hop,lsi,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,10,24,79,39,NA,NA,NA,NA,0.9973670886075949,0.06659043921811358,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.002636383599620262,5.642695323844971e-5,0.007511787619365294,-0.35096620581014537,0.725613701548403,-0.017359216793090108,0.012086449593849585
Barnett 2020,#3474,Barnett 2020,quad mvic 90 hhd,lsi,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,21,6,64,37,NA,NA,NA,NA,0.9407656249999999,0.15853503365137078,Male + Female,Bridge Enhanced ACL Repair (BEAR),NA,NA,NA,NA,0.85,-0.06106124055802664,4.437186101264613e-4,0.021064629361241115,-2.8987569404083238,0.0037464520077903902,-0.10234715545374418,-0.0197753256623091
