study,randomsequence_c,allocation_c,blinding_patient_c,blinding_therapist_c,blinding_assessor_c,outcome_c,selection_c,attrition_c,analysis_c
Urabe 2002,NA,NA,NA,NA,High,Unclear,Unclear,Low,High
Tyler 2004,Unclear,Unclear,Low,Unclear,High,Low,NA,High,High
Thomas 2013,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Tate 2017,NA,NA,NA,NA,High,Low,Low,NA,Low
Rhim 2020,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Noehren 2014,NA,NA,NA,NA,High,Low,High,NA,Low
Nicholas 2001,Unclear,Unclear,Unclear,Unclear,Low,Low,NA,Low,High
Myklebust 2017,NA,NA,NA,NA,High,Low,Low,NA,Low
Lima 2015,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Kline 2018,NA,NA,NA,NA,High,Low,Low,NA,Low
Balki 2019,Low,Unclear,Unclear,High,Low,Low,NA,Low,Low
Bando 2017,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Bell 2016,NA,NA,NA,NA,High,Low,Low,NA,Low
Dalton 2011,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Geoghegan 2007,High,High,High,High,High,High,Low,Low,High
Hadi 2019,NA,NA,NA,NA,High,Low,Low,NA,Low
Hall 2015,NA,NA,NA,NA,High,Low,Low,NA,Low
Harput 2018,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Hoch 2019,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Karanikas 2005,High,High,High,High,High,Low,Unclear,Low,Low
Karanikas 2004,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Everhart 2020a,NA,NA,NA,NA,High,High,Low,NA,Low
O'Malley 2018,NA,NA,NA,NA,High,Low,High,NA,Low
Dauty 2014,NA,NA,NA,NA,High,High,Low,Low,Low
Hamrin Senorski 2017,NA,NA,NA,NA,High,Unclear,Low,NA,Low
Christensen 2017,NA,NA,NA,NA,High,High,Low,NA,Low
Ageberg 2016,NA,NA,NA,NA,High,Low,Low,NA,Low
Akoto 2019,NA,NA,NA,NA,High,High,Low,NA,Low
Ardern 2010,NA,NA,NA,NA,High,Low,Low,NA,Low
Ardern 2011,NA,NA,NA,NA,High,High,Low,NA,Low
Arhos 2020a,NA,NA,NA,NA,High,Low,Low,Low,Low
Bailey 2019,Unclear,Unclear,Unclear,Unclear,Low,Unclear,NA,Low,Low
Batty 2019,NA,NA,NA,NA,High,Low,Low,Low,Low
Baumgart 2017,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Blakeney 2018,NA,NA,NA,NA,High,High,High,Low,Low
Bodkin 2017,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Boo 2020,NA,NA,NA,NA,High,High,Low,Low,High
Bookbinder 2020,NA,NA,NA,NA,High,Low,Unclear,Low,Low
Bryant 2011,NA,NA,NA,NA,High,Low,Low,NA,Low
Button 2014,NA,NA,NA,NA,High,High,High,NA,Low
Chen 2017,NA,NA,NA,NA,High,Low,High,NA,Low
Culvenor 2016a,NA,NA,NA,NA,High,Low,Low,NA,Low
Barnett 2020,NA,NA,NA,NA,Low,Low,Low,Low,Low
Nakanishi 2020,NA,NA,NA,NA,High,High,Unclear,NA,Low
Carolan 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Chen 2015,High,High,High,High,High,High,NA,Low,Low
Chung 2015a,NA,NA,NA,NA,High,Low,High,Low,Low
Cristiani 2019,NA,NA,NA,NA,High,Low,Low,NA,Low
Cristiani 2020,Unclear,Low,Unclear,Unclear,Unclear,Low,NA,High,Low
Curran 2020,NA,NA,NA,NA,High,Low,Low,NA,Low
Czamara 2011b,NA,NA,NA,NA,High,High,Unclear,Unclear,Low
Czamara 2018,NA,NA,NA,NA,High,Low,High,Low,Low
Dauty 2010,Unclear,Unclear,High,High,Low,Low,NA,Low,High
Dempsey 2019,NA,NA,NA,NA,High,Low,Low,NA,Low
Dobija 2019,NA,NA,NA,NA,High,Low,High,NA,Low
Drocco 2017,NA,NA,NA,NA,High,High,Unclear,High,Low
Everhart 2020b,NA,NA,NA,NA,High,High,Low,NA,Low
Eitzen 2010b,NA,NA,NA,NA,High,Unclear,Low,High,Low
Eitzen 2010a,NA,NA,NA,NA,High,Low,Low,NA,Low
Eiji 2016,NA,NA,NA,NA,High,High,Low,NA,Low
Edwards 2018,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Ebert 2019,NA,NA,NA,NA,High,Unclear,Low,Low,Low
Ebert 2018,NA,NA,NA,NA,High,Low,Low,NA,Low
Falstrom 2017,NA,NA,NA,NA,High,Low,Low,NA,Low
Fischer 2017,NA,NA,NA,NA,High,Low,Unclear,NA,Low
Fischer 2018,NA,NA,NA,NA,High,Low,Unclear,NA,Low
